iter	Passed	Remaining
962	12323	473
963	12339	460
964	12350	447
965	12360	435
966	12377	422
967	12390	409
968	12407	396
969	12422	384
970	12438	371
971	12454	358
972	12472	346
973	12494	333
974	12517	320
975	12532	308
976	12546	295
977	12560	282
978	12581	269
979	12594	257
980	12611	244
981	12624	231
982	12635	218
983	12646	205
984	12665	192
985	12679	180
986	12695	167
987	12707	154
988	12726	141
989	12738	128
990	12749	115
991	12761	102
992	12770	90
993	12779	77
994	12788	64
995	12797	51
996	12808	38
997	12818	25
998	12831	12
999	12842	0
